REF_DATE,GEO,New housing price indexes,VALUE
2019-01,Prairie Region,Total (house and land),99.6
2019-02,Prairie Region,Total (house and land),99.5
2019-03,Prairie Region,Total (house and land),99.4
2019-04,Prairie Region,Total (house and land),99.2
2019-05,Prairie Region,Total (house and land),99
2019-06,Prairie Region,Total (house and land),98.5
2019-07,Prairie Region,Total (house and land),98.2
2019-08,Prairie Region,Total (house and land),98.3
2019-09,Prairie Region,Total (house and land),98.3
2019-10,Prairie Region,Total (house and land),98.2
2019-11,Prairie Region,Total (house and land),97.7
2019-12,Prairie Region,Total (house and land),97.9
2020-01,Prairie Region,Total (house and land),97.9
2020-02,Prairie Region,Total (house and land),98
2020-03,Prairie Region,Total (house and land),98
2020-04,Prairie Region,Total (house and land),97.8
2020-05,Prairie Region,Total (house and land),97.9
2020-06,Prairie Region,Total (house and land),97.8
2020-07,Prairie Region,Total (house and land),97.5
2020-08,Prairie Region,Total (house and land),97.6
2020-09,Prairie Region,Total (house and land),98
2020-10,Prairie Region,Total (house and land),98.3
2020-11,Prairie Region,Total (house and land),98.8
2020-12,Prairie Region,Total (house and land),98.7
2021-01,Prairie Region,Total (house and land),99
2021-02,Prairie Region,Total (house and land),99.9
2021-03,Prairie Region,Total (house and land),100.8
2021-04,Prairie Region,Total (house and land),102.4
2021-05,Prairie Region,Total (house and land),105.7
2021-06,Prairie Region,Total (house and land),107.8
2021-07,Prairie Region,Total (house and land),108.3
2021-08,Prairie Region,Total (house and land),108.3
2021-09,Prairie Region,Total (house and land),108.2
2021-10,Prairie Region,Total (house and land),108.4
2021-11,Prairie Region,Total (house and land),108.6
2021-12,Prairie Region,Total (house and land),109.3
2022-01,Prairie Region,Total (house and land),111
2022-02,Prairie Region,Total (house and land),114.1
2022-03,Prairie Region,Total (house and land),117.3
2022-04,Prairie Region,Total (house and land),118.5
2022-05,Prairie Region,Total (house and land),119.9
2022-06,Prairie Region,Total (house and land),120
2022-07,Prairie Region,Total (house and land),119.7
2022-08,Prairie Region,Total (house and land),120
2022-09,Prairie Region,Total (house and land),119.8
2022-10,Prairie Region,Total (house and land),119.4
2022-11,Prairie Region,Total (house and land),119.2
2022-12,Prairie Region,Total (house and land),119.1
2023-01,Prairie Region,Total (house and land),118.8
2023-02,Prairie Region,Total (house and land),118.5
2023-03,Prairie Region,Total (house and land),118.6
2023-04,Prairie Region,Total (house and land),118.7
2023-05,Prairie Region,Total (house and land),119
2023-06,Prairie Region,Total (house and land),118.9
2023-07,Prairie Region,Total (house and land),119.1
2023-08,Prairie Region,Total (house and land),119.5
2023-09,Prairie Region,Total (house and land),119.3
2023-10,Prairie Region,Total (house and land),119.3
